Order_ID,Customer_Age,Category,Revenue,Quantity,Purchase_Month
ORD100000,46,Home & Kitchen,215.85,1,Sep
ORD100001,32,Books,392.08,5,Oct
ORD100002,23,Books,278.18,1,Mar
ORD100003,41,Books,79.57,3,Jul
ORD100004,21,Sports,114.5,5,Jul
ORD100005,28,Clothing,390.93,5,Oct
ORD100006,53,Home & Kitchen,160.94,3,Dec
ORD100007,54,Sports,398.98,5,Nov
ORD100008,54,Home & Kitchen,81.67,2,Mar
ORD100009,62,Sports,194.52,3,Feb
ORD100010,53,Books,62.29,5,May
ORD100011,30,Electronics,424.48,1,May
ORD100012,41,Sports,166.9,2,May
ORD100013,20,Home & Kitchen,394.55,1,Sep
ORD100014,31,Books,145.8,2,May
ORD100015,20,Books,222.14,3,Feb
ORD100016,51,Clothing,360.27,5,Sep
ORD100017,57,Home & Kitchen,356.18,5,Oct
ORD100018,26,Electronics,71.17,4,Nov
ORD100019,59,Home & Kitchen,192.66,4,Jan
ORD100020,33,Electronics,333.5,5,Mar
ORD100021,41,Electronics,293.44,4,Dec
ORD100022,44,Sports,149.3,2,Mar
ORD100023,37,Electronics,142.57,5,Dec
ORD100024,40,Electronics,363.51,3,Dec
ORD100025,31,Electronics,107.93,4,Nov
ORD100026,40,Books,205.17,4,Feb
ORD100027,23,Home & Kitchen,398.56,5,Jun
ORD100028,44,Home & Kitchen,185.18,1,Sep
ORD100029,30,Books,329.09,4,Jan
ORD100030,46,Sports,119.0,3,Jul
ORD100031,27,Sports,173.9,2,Jan
ORD100032,43,Electronics,457.48,5,Apr
ORD100033,59,Home & Kitchen,36.05,3,Mar
ORD100034,20,Sports,267.38,5,Oct
ORD100035,24,Clothing,191.89,5,Jan
ORD100036,39,Books,325.1,3,Dec
ORD100037,49,Electronics,447.31,2,Oct
ORD100038,34,Sports,464.95,4,Apr
ORD100039,24,Sports,64.31,1,Feb
ORD100040,23,Books,478.2,4,Dec
ORD100041,30,Home & Kitchen,454.97,2,Sep
ORD100042,46,Electronics,103.07,1,Sep
ORD100043,40,Sports,479.23,5,Sep
ORD100044,39,Clothing,291.25,1,Aug
ORD100045,57,Home & Kitchen,83.27,2,Apr
ORD100046,44,Electronics,215.38,5,Aug
ORD100047,64,Electronics,20.66,1,Nov
ORD100048,39,Electronics,252.35,5,Apr
ORD100049,52,Home & Kitchen,264.07,1,Dec
ORD100050,22,Sports,269.58,1,May
ORD100051,33,Electronics,210.96,3,Jul
ORD100052,64,Home & Kitchen,386.81,2,Sep
ORD100053,18,Books,193.66,1,Apr
ORD100054,38,Clothing,362.19,3,Aug
ORD100055,39,Clothing,17.68,3,Oct
ORD100056,62,Books,148.55,4,Feb
ORD100057,21,Clothing,345.58,3,Oct
ORD100058,40,Books,474.34,5,Feb
ORD100059,33,Sports,408.57,4,Jan
ORD100060,45,Books,106.93,1,Dec
ORD100061,42,Electronics,83.99,3,Aug
ORD100062,57,Books,303.75,3,Nov
ORD100063,38,Electronics,386.85,3,Jun
ORD100064,38,Electronics,307.41,3,May
ORD100065,60,Sports,292.71,2,Nov
ORD100066,60,Sports,461.61,4,Dec
ORD100067,42,Books,47.59,5,Jun
ORD100068,35,Sports,155.71,1,Oct
ORD100069,53,Home & Kitchen,54.89,3,Nov
ORD100070,58,Clothing,350.49,5,Jul
ORD100071,47,Clothing,178.11,3,Dec
ORD100072,37,Sports,251.94,2,Oct
ORD100073,26,Home & Kitchen,220.67,3,May
ORD100074,30,Electronics,303.58,5,Oct
ORD100075,30,Sports,83.54,4,Feb
ORD100076,27,Books,65.08,1,Sep
ORD100077,42,Sports,228.21,5,Mar
ORD100078,44,Sports,250.82,3,Apr
ORD100079,37,Home & Kitchen,265.97,1,May
ORD100080,37,Sports,166.14,1,Nov
ORD100081,44,Clothing,141.61,2,Aug
ORD100082,21,Clothing,69.18,3,Nov
ORD100083,37,Home & Kitchen,131.67,4,Dec
ORD100084,40,Sports,203.13,4,Jun
ORD100085,33,Home & Kitchen,145.99,5,Aug
ORD100086,57,Sports,177.23,4,Jul
ORD100087,22,Clothing,479.5,2,Apr
ORD100088,50,Electronics,430.2,1,Jun
ORD100089,35,Clothing,73.09,2,Oct
ORD100090,57,Books,297.3,1,Apr
ORD100091,58,Sports,96.27,1,Dec
ORD100092,27,Sports,352.07,5,Apr
ORD100093,46,Home & Kitchen,49.35,3,Jul
ORD100094,52,Home & Kitchen,66.36,5,Mar
ORD100095,51,Electronics,112.83,4,Dec
ORD100096,43,Clothing,207.23,2,Apr
ORD100097,22,Clothing,287.85,1,Feb
ORD100098,54,Electronics,372.6,2,Jul
ORD100099,53,Books,278.78,2,Jul
ORD100100,39,Books,54.01,4,Jan
ORD100101,47,Electronics,292.76,2,Jun
ORD100102,34,Home & Kitchen,405.73,3,Nov
ORD100103,22,Books,277.53,4,Dec
ORD100104,19,Home & Kitchen,320.83,4,Feb
ORD100105,56,Clothing,136.53,2,Aug
ORD100106,62,Books,413.53,3,Mar
ORD100107,65,Home & Kitchen,362.66,2,Apr
